"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/04/2023","2.827","2.858","1,10","2.827","2.858","n/d"
"27/04/2023","2.817","2.827","0,36","2.817","2.829","n/d"
"26/04/2023","2.815","2.817","0,08","2.815","2.821","n/d"
"25/04/2023","2.816","2.815","-0,04","2.812","2.820","n/d"
"24/04/2023","2.814","2.816","0,08","2.811","2.818","n/d"
"20/04/2023","2.809","2.814","0,18","2.809","2.814","n/d"
"19/04/2023","2.809","2.809","-0,01","2.808","2.814","n/d"
"18/04/2023","2.797","2.809","0,43","2.797","2.809","n/d"
"17/04/2023","2.781","2.797","0,56","2.781","2.798","n/d"
"14/04/2023","2.770","2.781","0,43","2.770","2.782","n/d"
"13/04/2023","2.770","2.770","-0,01","2.767","2.776","n/d"
"12/04/2023","2.765","2.770","0,17","2.761","2.772","n/d"
"11/04/2023","2.761","2.765","0,17","2.759","2.766","n/d"
"10/04/2023","2.760","2.761","0,01","2.757","2.764","n/d"
"06/04/2023","2.760","2.760","0,00","2.758","2.765","n/d"
"05/04/2023","2.761","2.760","-0,03","2.759","2.768","n/d"
"04/04/2023","2.753","2.761","0,29","2.753","2.764","n/d"
"03/04/2023","2.761","2.753","-0,28","2.751","2.773","n/d"
"31/03/2023","2.736","2.761","0,91","2.736","2.761","n/d"
"30/03/2023","2.744","2.736","-0,30","2.732","2.752","n/d"
"29/03/2023","2.764","2.744","-0,70","2.742","2.767","n/d"
"28/03/2023","2.767","2.764","-0,13","2.763","2.770","n/d"
"27/03/2023","2.770","2.767","-0,11","2.765","2.772","n/d"
"24/03/2023","2.761","2.770","0,35","2.761","2.771","n/d"
"23/03/2023","2.768","2.761","-0,28","2.757","2.771","n/d"
"22/03/2023","2.769","2.768","-0,04","2.766","2.773","n/d"
"21/03/2023","2.768","2.769","0,05","2.767","2.776","n/d"
"20/03/2023","2.776","2.768","-0,28","2.767","2.783","n/d"
"17/03/2023","2.777","2.776","-0,04","2.775","2.783","n/d"
"16/03/2023","2.778","2.777","-0,03","2.771","2.785","n/d"
"15/03/2023","2.775","2.778","0,12","2.775","2.782","n/d"
"14/03/2023","2.773","2.775","0,08","2.771","2.778","n/d"
"13/03/2023","2.789","2.773","-0,57","2.771","2.792","n/d"
"10/03/2023","2.792","2.789","-0,12","2.785","2.798","n/d"
"09/03/2023","2.798","2.792","-0,24","2.791","2.804","n/d"
"08/03/2023","2.809","2.798","-0,38","2.798","2.813","n/d"
"07/03/2023","2.812","2.809","-0,09","2.807","2.817","n/d"
"06/03/2023","2.821","2.812","-0,34","2.812","2.825","n/d"
"03/03/2023","2.811","2.821","0,37","2.811","2.822","n/d"
"02/03/2023","2.809","2.811","0,08","2.809","2.820","n/d"
"01/03/2023","2.808","2.809","0,01","2.806","2.819","n/d"
"28/02/2023","2.808","2.808","0,01","2.804","2.828","n/d"
"27/02/2023","2.803","2.808","0,18","2.803","2.809","n/d"
"24/02/2023","2.794","2.803","0,34","2.794","2.806","n/d"
"23/02/2023","2.798","2.793","-0,16","2.793","2.804","n/d"
"22/02/2023","2.797","2.798","0,02","2.796","2.799","n/d"
