"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/04/2023","23,60","23,70","1,85","23,15","24,05","1,74B"
"27/04/2023","23,94","23,27","-2,43","23,10","24,23","3,60B"
"26/04/2023","24,18","23,85","-1,25","23,85","24,25","2,20B"
"25/04/2023","24,22","24,15","-0,40","23,82","24,52","2,26B"
"24/04/2023","23,72","24,25","1,91","23,63","24,30","952,01M"
"20/04/2023","23,64","23,80","0,68","23,44","24,05","2,77B"
"19/04/2023","24,22","23,64","-3,21","23,58","24,35","4,06B"
"18/04/2023","23,81","24,42","2,55","23,64","24,63","3,50B"
"17/04/2023","23,39","23,81","1,56","23,37","23,89","1,08B"
"14/04/2023","23,00","23,45","1,04","22,93","23,54","1,72B"
"13/04/2023","23,05","23,21","0,70","23,00","23,26","2,45B"
"12/04/2023","23,16","23,05","0,74","22,45","23,31","3,39B"
"11/04/2023","22,02","22,88","4,69","21,97","22,91","2,64B"
"10/04/2023","21,42","21,85","2,12","21,42","21,99","854,46M"
"06/04/2023","21,70","21,40","-1,44","21,35","21,77","2,58B"
"05/04/2023","21,57","21,71","0,33","20,75","21,87","3,19B"
"04/04/2023","21,96","21,64","-0,90","21,49","22,08","2,73B"
"03/04/2023","21,48","21,83","4,43","21,22","21,84","1,50B"
"31/03/2023","21,40","20,91","-2,17","20,69","21,59","2,37B"
"30/03/2023","21,62","21,37","0,29","21,11","21,65","2,17B"
"29/03/2023","21,14","21,31","1,31","20,93","21,43","1,55B"
"28/03/2023","20,70","21,03","1,77","20,64","21,08","1,35B"
"27/03/2023","20,60","20,67","1,71","20,35","20,83","759,92M"
"24/03/2023","20,25","20,32","-0,04","20,04","20,62","2,55B"
"23/03/2023","20,84","20,33","-2,27","20,14","21,10","2,43B"
"22/03/2023","20,85","20,80","-0,30","20,54","21,06","1,80B"
"21/03/2023","20,68","20,86","2,05","20,58","21,04","2,02B"
"20/03/2023","20,96","20,44","-2,47","20,41","21,09","1,10B"
"17/03/2023","20,60","20,96","1,07","20,38","20,96","2,51B"
"16/03/2023","20,86","20,74","-0,34","20,48","20,97","3,22B"
"15/03/2023","20,80","20,81","-1,77","20,33","20,93","3,12B"
"14/03/2023","21,65","21,18","-1,78","21,04","22,05","2,44B"
"13/03/2023","21,89","21,57","-3,16","21,49","22,16","1,15B"
"10/03/2023","22,43","22,27","-1,30","22,24","22,81","1,08B"
"09/03/2023","22,60","22,57","-0,43","22,54","23,39","1,56B"
"08/03/2023","22,42","22,66","1,27","22,41","23,11","1,50B"
"07/03/2023","22,93","22,38","-3,31","22,23","22,98","1,33B"
"06/03/2023","22,91","23,15","1,01","22,62","23,29","1,04B"
"03/03/2023","22,14","22,91","4,30","21,80","22,95","1,97B"
"02/03/2023","22,66","21,97","-2,61","21,73","22,89","2,77B"
"01/03/2023","22,57","22,56","0,24","21,57","22,67","2,41B"
"28/02/2023","23,37","22,50","-3,48","22,50","24,00","3,01B"
"27/02/2023","23,04","23,31","0,69","23,01","23,84","1,79B"
"24/02/2023","23,78","23,15","-2,18","23,06","23,80","1,50B"
"23/02/2023","22,98","23,67","3,07","22,98","23,89","1,74B"
"22/02/2023","23,18","22,97","-2,57","22,90","23,28","891,13M"
"17/02/2023","23,78","23,57","-1,53","23,51","23,78","1,43B"
"16/02/2023","23,72","23,94","0,41","23,62","24,03","1,05B"
"15/02/2023","23,70","23,84","0,15","23,45","23,89","1,72B"
"14/02/2023","23,94","23,80","-0,37","23,72","24,13","855,06M"
"13/02/2023","23,80","23,89","0,30","23,51","23,97","873,56M"
"10/02/2023","23,16","23,82","3,05","23,12","23,89","1,29B"
"09/02/2023","23,23","23,12","-0,46","22,99","23,47","887,17M"
"08/02/2023","23,00","23,23","1,68","22,79","23,31","1,12B"
"07/02/2023","23,10","22,84","-0,62","22,70","23,31","1,27B"
"06/02/2023","22,17","22,98","3,99","22,07","23,06","1,87B"
"03/02/2023","21,88","22,10","1,10","21,77","22,63","1,57B"
"02/02/2023","22,74","21,86","-4,63","21,77","23,01","1,87B"
"01/02/2023","23,24","22,92","-1,38","22,69","23,61","1,30B"
"31/01/2023","22,85","23,24","1,24","22,75","23,37","1,25B"
"30/01/2023","23,05","22,96","0,51","22,74","23,24","933,37M"
"27/01/2023","23,34","22,84","-2,21","22,68","23,39","1,09B"
"26/01/2023","24,15","23,36","-2,75","23,00","24,25","1,74B"
"25/01/2023","23,67","24,02","1,28","23,19","24,14","1,23B"
"24/01/2023","24,49","23,72","-0,71","23,51","24,54","1,57B"
"23/01/2023","23,42","23,89","1,59","23,30","24,61","2,12B"
"20/01/2023","23,08","23,51","2,09","22,66","23,72","4,12B"
"19/01/2023","22,29","23,03","3,03","22,10","23,14","1,72B"
"18/01/2023","23,04","22,35","-1,76","22,29","23,21","1,58B"
"17/01/2023","21,50","22,75","6,16","21,50","22,84","2,05B"
"16/01/2023","21,76","21,43","-2,16","21,25","21,84","686,55M"
"13/01/2023","21,79","21,91","-0,24","21,62","21,99","872,78M"
"12/01/2023","21,66","21,96","1,44","21,50","21,98","1,27B"
"11/01/2023","21,53","21,65","0,79","21,44","21,95","1,16B"
"10/01/2023","21,35","21,48","0,92","20,84","21,50","1,12B"
"09/01/2023","20,95","21,28","0,55","20,73","21,40","983,12M"
"06/01/2023","21,34","21,17","-0,59","21,00","21,68","1,10B"
"05/01/2023","20,81","21,29","3,60","20,64","21,43","1,56B"
"04/01/2023","19,58","20,55","3,18","19,46","21,04","2,64B"
"03/01/2023","20,45","19,92","-2,53","19,73","20,60","1,94B"
"02/01/2023","20,99","20,43","-6,45","20,33","21,23","1,61B"
"29/12/2022","22,28","21,84","-1,21","21,78","22,33","2,35B"
"28/12/2022","22,38","22,11","-1,23","22,07","22,57","1,28B"
"27/12/2022","22,51","22,39","0,68","21,89","22,57","1,13B"
"26/12/2022","22,40","22,24","-0,72","22,13","22,56","640,06M"
"23/12/2022","21,51","22,40","4,71","21,51","22,49","1,51B"
"22/12/2022","21,31","21,39","1,78","21,13","21,90","3,25B"
"21/12/2022","20,95","21,01","2,17","20,37","21,15","1,54B"
"20/12/2022","19,96","20,57","3,08","19,80","20,72","1,46B"
"19/12/2022","19,70","19,95","1,50","19,29","20,07","1,25B"
"16/12/2022","19,58","19,66","0,05","19,18","19,71","1,75B"
"15/12/2022","18,72","19,65","2,65","18,57","19,94","2,58B"
"14/12/2022","20,06","19,14","-7,93","18,52","20,15","6,14B"
