"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/04/2023","71,63","72,40","0,89","71,06","72,42","3,52B"
"27/04/2023","69,70","71,76","2,12","69,18","71,78","3,93B"
"26/04/2023","71,00","70,27","0,39","70,27","71,43","3,84B"
"25/04/2023","71,20","70,00","-2,72","69,71","71,20","4,23B"
"24/04/2023","72,20","71,96","-3,62","71,59","72,54","1,88B"
"20/04/2023","75,90","74,66","-2,09","74,53","76,46","4,29B"
"19/04/2023","77,30","76,25","-2,92","75,02","77,62","3,42B"
"18/04/2023","78,79","78,54","0,86","77,66","78,93","2,75B"
"17/04/2023","79,48","77,87","-1,19","77,45","80,44","1,53B"
"14/04/2023","79,10","78,81","-0,88","78,00","79,80","3,34B"
"13/04/2023","80,00","79,51","-1,35","78,97","80,72","4,18B"
"12/04/2023","82,75","80,60","-2,14","80,29","82,80","5,21B"
"11/04/2023","80,50","82,36","5,28","80,06","82,95","3,69B"
"10/04/2023","76,75","78,23","1,93","76,74","78,25","1,07B"
"06/04/2023","76,67","76,75","-0,18","76,28","77,50","2,91B"
"05/04/2023","77,75","76,89","-1,47","75,90","77,76","3,44B"
"04/04/2023","79,96","78,04","-2,83","77,75","80,16","2,66B"
"03/04/2023","79,80","80,31","0,02","79,41","80,39","990,06M"
"31/03/2023","81,60","80,29","-1,87","79,91","82,17","2,73B"
"30/03/2023","81,70","81,82","1,63","81,15","81,95","2,42B"
"29/03/2023","79,99","80,51","1,44","79,84","80,84","2,33B"
"28/03/2023","78,72","79,37","1,06","78,59","79,90","2,10B"
"27/03/2023","79,51","78,54","-0,17","78,03","80,08","1,04B"
"24/03/2023","79,69","78,67","-1,14","78,09","79,86","4,02B"
"23/03/2023","81,52","79,58","-2,57","78,81","82,18","3,34B"
"22/03/2023","82,00","81,68","-1,25","81,61","82,75","2,60B"
"21/03/2023","83,22","82,71","-0,84","81,54","83,44","2,78B"
"20/03/2023","82,72","83,41","0,82","81,81","83,99","1,46B"
"17/03/2023","82,91","82,73","1,20","82,63","83,50","3,04B"
"16/03/2023","81,22","81,75","0,37","80,71","82,15","4,21B"
"15/03/2023","82,00","81,45","-3,01","80,10","83,08","4,15B"
"14/03/2023","83,12","83,98","0,91","82,90","84,35","1,37B"
"13/03/2023","82,55","83,22","0,41","82,26","84,15","1,78B"
"10/03/2023","82,78","82,88","-0,33","82,46","84,33","1,82B"
"09/03/2023","83,30","83,15","-1,31","82,99","84,63","2,04B"
"08/03/2023","83,76","84,26","0,91","83,56","84,55","1,87B"
"07/03/2023","84,98","83,49","-0,95","82,98","85,52","1,75B"
"06/03/2023","85,55","84,30","-3,53","84,27","86,01","1,96B"
"03/03/2023","88,16","87,38","0,34","86,90","88,36","1,73B"
"02/03/2023","87,28","87,09","-0,22","86,52","88,20","1,90B"
"01/03/2023","85,88","87,28","4,55","85,62","87,92","2,69B"
"28/02/2023","83,23","83,48","0,33","82,53","84,64","1,77B"
"27/02/2023","82,74","83,21","0,00","81,85","83,54","1,19B"
"24/02/2023","84,20","83,21","-2,20","82,83","84,62","1,43B"
"23/02/2023","85,13","85,08","-0,47","83,71","86,18","1,82B"
"22/02/2023","85,18","85,48","-0,76","84,71","86,55","1,44B"
"17/02/2023","87,67","86,14","-1,30","85,66","87,82","2,27B"
"16/02/2023","87,37","87,27","0,21","86,99","88,32","2,52B"
"15/02/2023","85,23","87,09","2,18","84,70","87,32","2,46B"
"14/02/2023","85,13","85,23","0,45","84,67","85,83","1,71B"
"13/02/2023","84,07","84,84","-0,10","83,46","85,24","1,17B"
"10/02/2023","86,28","84,93","-1,80","84,50","87,04","1,54B"
"09/02/2023","86,81","86,49","-0,37","85,59","87,62","1,71B"
"08/02/2023","87,18","86,81","0,34","85,72","87,45","1,25B"
"07/02/2023","85,71","86,52","0,66","85,12","86,77","1,40B"
"06/02/2023","86,30","85,95","-1,25","84,80","86,35","1,53B"
"03/02/2023","87,83","87,04","-0,21","86,78","88,82","1,98B"
"02/02/2023","89,72","87,22","-4,62","86,95","89,98","3,33B"
"01/02/2023","93,15","91,45","-1,11","89,62","93,15","2,61B"
"31/01/2023","92,28","92,48","-0,49","91,83","92,84","1,91B"
"30/01/2023","93,84","92,94","-0,36","92,16","94,23","2,21B"
"27/01/2023","95,74","93,27","-2,73","92,79","96,18","3,25B"
"26/01/2023","94,42","95,89","1,87","94,32","95,89","2,56B"
"25/01/2023","93,15","94,13","0,94","92,73","94,33","1,71B"
"24/01/2023","92,28","93,25","1,06","91,19","93,25","1,61B"
"23/01/2023","92,32","92,27","0,33","91,68","92,66","1,25B"
"20/01/2023","91,88","91,97","0,27","91,49","92,54","4,03B"
"19/01/2023","91,78","91,72","0,43","91,31","92,34","2,00B"
"18/01/2023","91,06","91,33","1,31","90,91","92,21","1,53B"
"17/01/2023","90,52","90,15","-0,13","89,85","91,23","1,69B"
"16/01/2023","90,02","90,27","-1,67","88,88","90,40","1,76B"
"13/01/2023","91,67","91,80","0,09","91,35","92,25","1,55B"
"12/01/2023","91,47","91,72","0,53","90,94","92,27","1,66B"
"11/01/2023","91,97","91,24","-0,35","90,27","92,45","2,17B"
"10/01/2023","90,50","91,57","1,23","90,35","91,88","1,81B"
"09/01/2023","89,56","90,45","0,11","89,29","90,99","1,74B"
"06/01/2023","89,04","90,35","1,58","89,04","90,74","2,83B"
"05/01/2023","87,54","88,94","1,68","87,09","89,71","2,58B"
"04/01/2023","87,38","87,48","0,18","86,05","87,72","2,30B"
"03/01/2023","87,48","87,32","-0,18","86,98","88,15","2,22B"
"02/01/2023","86,77","87,48","0,59","86,63","87,97","1,12B"
"29/12/2022","87,09","86,97","-0,12","86,92","88,01","3,29B"
"28/12/2022","87,27","87,08","-0,22","86,79","88,27","2,04B"
"27/12/2022","86,11","87,27","2,39","85,59","87,72","2,32B"
"26/12/2022","84,56","85,24","0,92","84,47","85,66","1,57B"
"23/12/2022","83,45","84,46","0,66","83,25","84,66","1,57B"
"22/12/2022","84,42","83,90","-0,57","82,87","84,79","4,83B"
"21/12/2022","85,03","84,38","0,57","83,95","85,52","3,31B"
"20/12/2022","83,53","83,90","0,45","83,47","85,37","1,91B"
"19/12/2022","83,17","83,53","-0,36","82,43","83,75","2,29B"
"16/12/2022","85,13","83,84","-1,71","82,69","85,44","3,16B"
"15/12/2022","85,51","85,29","0,32","85,02","86,27","2,12B"
"14/12/2022","83,90","85,02","0,85","83,66","85,45","2,93B"
"13/12/2022","84,39","84,31","0,37","83,79","85,52","2,67B"
"12/12/2022","86,00","83,99","-2,99","83,30","86,15","2,95B"
"09/12/2022","85,92","86,58","3,33","85,40","87,36","3,27B"
"08/12/2022","83,42","83,79","1,23","83,27","85,12","2,52B"
"07/12/2022","83,82","82,77","-3,56","81,82","84,32","3,76B"
"06/12/2022","84,87","85,83","1,45","84,76","86,76","1,83B"
"05/12/2022","85,76","84,60","-0,10","84,57","86,82","1,88B"
"02/12/2022","84,65","84,69","0,72","82,90","85,60","2,56B"
"01/12/2022","84,32","84,08","0,55","82,67","84,64","2,88B"
"30/11/2022","82,93","83,62","1,50","82,70","84,51","5,02B"
"29/11/2022","80,83","82,38","3,86","80,61","83,59","3,52B"
"28/11/2022","78,64","79,32","0,49","77,58","80,33","1,28B"
"25/11/2022","80,00","78,93","-0,68","78,71","80,86","1,63B"
"24/11/2022","79,52","79,47","0,64","78,65","80,38","988,05M"
"23/11/2022","78,96","78,96","0,99","77,99","79,38","1,76B"
"22/11/2022","78,00","78,19","0,28","77,46","79,48","2,12B"
"21/11/2022","77,17","77,97","-1,13","76,37","78,24","2,15B"
"18/11/2022","82,30","78,86","-2,73","78,73","82,43","3,52B"
"17/11/2022","78,90","81,08","0,80","78,77","81,26","2,54B"
"16/11/2022","81,29","80,43","-1,04","79,55","82,71","2,66B"
"14/11/2022","80,38","81,28","1,23","79,40","82,38","3,55B"
"11/11/2022","76,09","80,30","10,40","75,33","80,97","6,28B"
"10/11/2022","69,76","72,73","1,91","69,64","73,63","3,46B"
"09/11/2022","72,30","71,37","-1,22","70,75","72,96","3,03B"
"08/11/2022","69,90","72,25","3,03","69,90","73,10","2,87B"
"07/11/2022","70,25","70,12","-0,53","69,70","71,25","2,07B"
"04/11/2022","69,42","70,49","7,60","69,08","71,60","4,30B"
"03/11/2022","65,99","65,51","-2,92","64,96","66,29","2,25B"
"01/11/2022","67,76","67,49","3,04","67,27","69,08","5,36B"
"31/10/2022","64,39","65,49","-0,47","63,92","67,71","2,56B"
"28/10/2022","66,92","65,81","-4,88","65,03","67,37","3,46B"
"27/10/2022","70,25","69,18","-3,56","67,74","70,36","3,60B"
"26/10/2022","69,54","71,74","2,22","69,39","73,03","2,93B"
"25/10/2022","69,87","70,18","0,00","69,19","71,49","1,98B"
"24/10/2022","71,49","70,18","-2,97","69,45","72,15","2,25B"
"21/10/2022","70,05","72,32","2,93","69,70","72,86","2,63B"
"20/10/2022","69,25","70,27","1,28","68,61","71,41","3,63B"
"19/10/2022","69,89","69,38","-1,18","68,86","70,37","1,57B"
"18/10/2022","70,54","70,21","1,83","69,02","71,06","1,92B"
"17/10/2022","68,50","68,95","1,20","67,57","69,50","1,78B"
"14/10/2022","70,84","68,13","-3,26","67,90","71,57","2,33B"
"13/10/2022","70,49","70,42","-1,78","69,32","71,03","2,30B"
"11/10/2022","71,42","71,70","-0,68","70,28","72,37","5,51B"
"10/10/2022","74,55","72,19","-2,01","71,69","75,14","3,29B"
"07/10/2022","73,52","73,67","-0,05","73,33","77,51","6,29B"
"06/10/2022","75,32","73,71","-1,83","73,10","75,68","5,67B"
"05/10/2022","74,43","75,09","1,54","74,27","75,96","3,17B"
"04/10/2022","72,39","73,94","2,42","72,26","74,39","3,07B"
"03/10/2022","71,46","72,20","2,72","69,40","72,36","3,03B"
"30/09/2022","66,82","70,29","5,28","66,60","71,12","3,86B"
"29/09/2022","66,28","66,76","0,13","65,71","67,10","2,31B"
"28/09/2022","66,06","66,68","0,95","65,80","67,16","1,62B"
"27/09/2022","66,91","66,05","-0,44","65,55","67,12","2,09B"
"26/09/2022","66,05","66,34","-0,83","65,99","67,73","2,30B"
"23/09/2022","67,04","66,90","-2,07","66,18","67,37","2,93B"
"22/09/2022","68,46","68,31","2,29","67,59","68,98","2,35B"
"21/09/2022","67,76","66,78","-1,44","66,74","68,29","2,99B"
"20/09/2022","68,10","67,76","-1,43","66,73","68,39","2,37B"
"19/09/2022","65,79","68,74","3,24","65,69","68,84","2,29B"
"16/09/2022","65,64","66,59","-0,15","64,97","67,17","4,32B"
"15/09/2022","66,15","66,69","2,02","65,54","66,96","2,44B"
"14/09/2022","66,10","65,37","-1,83","64,85","67,30","2,04B"
"13/09/2022","67,63","66,59","-2,71","66,43","69,27","1,98B"
"12/09/2022","68,38","68,44","0,86","67,57","68,88","1,60B"
"09/09/2022","64,93","67,86","7,81","64,63","67,94","3,26B"
"08/09/2022","62,61","62,94","1,32","62,01","63,12","1,51B"
"06/09/2022","63,09","62,12","-2,38","62,04","63,95","1,53B"
"05/09/2022","62,88","63,63","3,66","62,67","64,86","1,54B"
"02/09/2022","62,92","61,39","-1,52","61,39","63,24","3,08B"
"01/09/2022","62,42","62,33","-0,95","60,39","62,42","2,51B"
"31/08/2022","63,83","62,93","-0,72","62,93","64,08","2,08B"
"30/08/2022","64,33","63,39","-2,90","62,83","64,96","2,18B"
"29/08/2022","65,86","65,28","-1,93","65,22","66,25","1,45B"
"26/08/2022","67,95","66,57","-1,50","66,57","69,47","1,92B"
"25/08/2022","67,22","67,58","1,94","66,59","67,74","1,67B"
"24/08/2022","68,08","66,29","-3,22","66,16","68,54","4,36B"
"23/08/2022","65,15","68,50","6,41","65,03","68,59","2,50B"
"22/08/2022","65,17","64,37","-1,46","64,23","65,28","1,25B"
"19/08/2022","65,37","65,33","-1,12","64,86","65,80","2,97B"
"18/08/2022","66,64","66,07","-0,75","66,06","66,94","1,82B"
"17/08/2022","66,66","66,57","-2,46","66,24","67,12","1,93B"
"16/08/2022","67,81","68,25","2,42","67,43","68,64","1,50B"
"15/08/2022","66,34","66,64","-2,15","65,41","66,88","1,77B"
"12/08/2022","67,10","68,10","0,95","66,64","68,10","2,39B"
"11/08/2022","65,88","67,46","3,48","65,65","68,54","3,44B"
"10/08/2022","65,82","65,19","0,07","64,32","65,89","1,95B"
"09/08/2022","63,83","65,14","2,07","63,42","65,29","2,26B"
"08/08/2022","64,05","63,82","0,85","63,05","64,34","2,26B"
"05/08/2022","63,18","63,28","1,30","62,81","63,98","2,28B"
"04/08/2022","62,97","62,47","-0,58","62,18","63,32","2,53B"
"03/08/2022","65,19","62,83","-3,89","62,83","65,28","2,02B"
"02/08/2022","63,58","65,37","3,19","62,33","65,58","2,09B"
"01/08/2022","64,15","63,35","-2,39","63,21","65,00","2,47B"
"29/07/2022","64,83","64,91","-1,33","63,31","65,44","4,97B"
"28/07/2022","66,50","65,78","0,24","65,43","66,97","1,43B"
"27/07/2022","65,11","65,62","0,23","64,50","65,72","1,18B"
"26/07/2022","66,37","65,47","-0,18","64,75","66,46","1,29B"
"25/07/2022","65,75","65,59","1,85","65,18","66,28","1,29B"
"22/07/2022","64,95","64,40","0,93","64,18","65,84","1,80B"
"21/07/2022","62,64","63,81","1,75","62,01","63,85","1,70B"
"20/07/2022","63,71","62,71","-2,16","61,58","63,72","2,51B"
"19/07/2022","63,47","64,10","0,22","63,27","64,46","1,39B"
"18/07/2022","65,50","63,96","0,53","63,93","65,50","1,42B"
"15/07/2022","62,81","63,62","0,62","62,02","63,73","2,29B"
"14/07/2022","65,60","63,23","-6,66","62,87","65,91","3,66B"
"13/07/2022","67,88","67,74","-0,34","67,29","68,53","1,55B"
"12/07/2022","67,00","67,98","0,30","66,13","68,09","1,50B"
"11/07/2022","69,00","67,77","-3,41","67,52","69,01","1,49B"
"08/07/2022","71,49","70,16","-2,31","70,07","72,45","1,70B"
"07/07/2022","71,89","71,82","2,91","71,54","72,79","2,46B"
"06/07/2022","69,47","69,79","0,94","68,43","70,21","1,60B"
"05/07/2022","69,18","69,14","-0,50","67,53","69,25","1,81B"
"04/07/2022","68,86","69,48","-0,57","68,47","69,80","857,38M"
"01/07/2022","70,28","69,88","-1,91","68,67","71,22","1,86B"
"30/06/2022","71,64","71,24","-2,83","70,88","72,63","1,95B"
"29/06/2022","74,08","73,32","-0,83","72,62","74,53","1,37B"
"28/06/2022","74,44","73,93","1,79","73,31","74,66","1,92B"
"27/06/2022","71,19","72,63","4,60","70,78","73,49","2,08B"
"24/06/2022","67,73","69,44","2,78","67,56","69,68","1,54B"
"23/06/2022","71,13","67,56","-3,65","67,40","71,94","2,17B"
"22/06/2022","68,86","70,12","-0,86","68,28","70,77","2,24B"
"21/06/2022","71,47","70,72","0,66","70,50","72,25","1,49B"
"20/06/2022","70,35","70,26","-2,47","69,09","70,89","1,87B"
"17/06/2022","73,84","72,03","-5,22","70,82","73,84","4,07B"
"15/06/2022","76,40","76,00","-0,06","75,88","77,95","2,21B"
"14/06/2022","76,61","76,04","-0,20","75,27","77,05","1,71B"
"13/06/2022","76,40","76,19","-3,17","74,54","77,11","2,35B"
"10/06/2022","77,58","78,69","0,02","76,66","79,09","2,22B"
"09/06/2022","80,96","78,67","-3,38","78,59","80,96","2,86B"
"08/06/2022","83,55","81,42","-3,44","80,82","84,06","2,21B"
"07/06/2022","82,11","84,33","2,34","81,99","84,58","2,26B"
"06/06/2022","83,41","82,40","0,10","82,40","83,55","1,23B"
"03/06/2022","83,28","82,32","-1,60","82,22","83,58","1,52B"
"02/06/2022","83,75","83,66","1,88","82,82","84,01","2,09B"
"01/06/2022","80,20","82,11","2,35","80,03","82,61","2,10B"
"31/05/2022","81,16","80,22","-0,51","79,11","81,36","3,30B"
"30/05/2022","80,29","80,63","1,09","80,04","81,34","1,28B"
"27/05/2022","79,00","79,77","1,74","78,82","79,92","1,43B"
"26/05/2022","78,32","78,40","-0,06","77,33","78,77","2,14B"
"25/05/2022","78,17","78,45","0,31","77,62","78,91","1,93B"
"24/05/2022","76,14","78,20","1,35","75,38","78,25","2,70B"
"23/05/2022","76,58","77,16","2,04","76,56","77,84","2,13B"
"20/05/2022","76,31","75,62","1,77","74,98","76,73","2,89B"
"19/05/2022","72,38","74,30","2,66","72,09","74,80","2,22B"
"18/05/2022","73,24","72,38","-2,53","72,04","73,75","2,22B"
"17/05/2022","76,17","74,26","-0,42","73,38","76,23","2,18B"
"16/05/2022","73,22","74,57","2,99","73,07","75,04","1,77B"
"13/05/2022","72,97","72,41","-0,12","72,40","73,84","1,89B"
"12/05/2022","71,70","72,49","-1,00","70,60","72,49","1,99B"
"11/05/2022","72,00","73,23","4,17","71,76","74,34","2,48B"
"10/05/2022","70,97","70,29","-1,24","69,67","71,60","2,24B"
"09/05/2022","72,15","71,18","-4,10","70,80","72,56","2,64B"
"06/05/2022","73,70","74,22","-0,71","72,82","75,28","1,86B"
"05/05/2022","75,89","74,75","-1,81","73,59","77,42","2,31B"
"04/05/2022","76,24","76,13","-0,84","74,30","76,47","2,55B"
"03/05/2022","77,19","76,77","-0,51","76,48","78,36","2,11B"
"02/05/2022","77,38","77,16","-0,44","75,04","77,42","2,39B"
"29/04/2022","80,20","77,51","-1,08","77,51","81,14","3,74B"
"28/04/2022","79,12","78,35","2,47","75,22","79,61","4,35B"
"27/04/2022","74,87","76,46","5,35","74,58","76,96","3,74B"
"26/04/2022","73,59","72,58","-1,37","72,44","73,81","2,69B"
"25/04/2022","72,53","73,59","-1,70","72,16","74,08","2,83B"
"22/04/2022","77,47","74,86","-5,80","74,52","77,61","2,94B"
"20/04/2022","80,60","79,47","-2,60","78,54","80,65","2,34B"
"19/04/2022","83,46","81,59","-3,19","80,81","83,46","2,82B"
"18/04/2022","85,25","84,28","-1,65","83,76","85,61","1,24B"
"14/04/2022","86,83","85,69","-1,40","85,02","87,47","2,12B"
"13/04/2022","87,00","86,91","0,03","86,36","87,83","2,06B"
"12/04/2022","88,50","86,89","-0,67","86,76","88,97","1,47B"
"11/04/2022","87,30","87,47","-1,21","86,47","88,13","1,44B"
"08/04/2022","89,93","88,54","-2,04","88,05","90,64","2,39B"
"07/04/2022","88,87","90,38","0,60","88,53","90,91","1,79B"
"06/04/2022","88,71","89,85","1,51","88,71","90,00","2,02B"
"05/04/2022","90,60","88,51","-2,89","88,24","90,99","2,30B"
"04/04/2022","90,05","91,14","1,01","89,85","91,43","1,53B"
"01/04/2022","90,06","90,23","1,42","89,40","90,73","2,02B"
"31/03/2022","89,72","88,96","-0,28","88,74","90,16","1,60B"
"30/03/2022","89,63","89,21","1,43","88,65","90,37","1,96B"
"29/03/2022","88,72","87,96","-0,86","86,91","89,02","3,37B"
"28/03/2022","89,05","88,72","0,12","87,11","89,65","1,43B"
"25/03/2022","90,92","88,62","-1,73","87,75","91,47","1,99B"
"24/03/2022","89,52","90,18","0,54","88,69","90,82","2,07B"
"23/03/2022","90,73","89,70","-0,22","89,60","92,07","2,37B"
"22/03/2022","91,67","89,89","-2,24","89,51","92,09","2,65B"
"21/03/2022","90,57","91,95","2,83","90,40","92,53","2,32B"
"18/03/2022","88,78","89,42","1,90","87,29","89,42","2,04B"
"17/03/2022","86,45","87,75","3,48","86,13","88,38","3,55B"
"16/03/2022","85,51","84,80","2,43","83,11","87,36","3,19B"
"15/03/2022","82,81","82,79","-2,87","81,22","83,36","3,58B"
"14/03/2022","88,38","85,24","-5,36","84,91","88,59","3,18B"
"11/03/2022","90,66","90,07","-0,52","90,04","91,58","2,21B"
"10/03/2022","87,94","90,54","3,30","87,55","90,54","2,96B"
"09/03/2022","89,14","87,65","-2,63","86,13","89,15","3,58B"
"08/03/2022","95,86","90,01","-4,39","89,35","95,97","4,86B"
"07/03/2022","93,58","94,14","3,04","93,07","94,89","5,20B"
"04/03/2022","88,42","91,37","2,28","87,92","91,47","2,75B"
"03/03/2022","89,78","89,33","0,05","89,15","90,73","3,47B"
"02/03/2022","88,68","89,29","7,99","86,97","89,33","3,73B"
"25/02/2022","77,52","82,68","5,41","76,25","82,80","4,10B"
"24/02/2022","75,82","78,44","1,24","75,02","78,88","2,86B"
"23/02/2022","78,93","77,48","-1,05","76,65","79,15","1,89B"
"22/02/2022","77,67","78,30","1,73","76,88","78,31","1,84B"
"21/02/2022","77,59","76,97","0,08","76,61","78,84","1,14B"
"18/02/2022","77,45","76,90","0,21","76,55","77,98","1,73B"
"17/02/2022","79,61","76,74","-4,30","76,49","79,74","2,81B"
"16/02/2022","80,14","80,19","0,73","79,83","81,20","1,67B"
"15/02/2022","79,76","79,61","-2,97","78,58","80,59","2,36B"
"14/02/2022","81,63","82,05","-0,43","81,38","82,58","1,87B"
"11/02/2022","83,65","82,41","-2,02","82,07","83,69","2,86B"
